id;pt_BR;en;fr;it;nl;pt;es;de
Bank>101;[[P1\BA\101]]Eu gostaria de fazer um empréstimo.;[[P1\BA\101]]I would like to take out a loan.;[[P1\BA\101]]Je voudrais faire un emprunt.;[[P1\BA\101]]Vorrei avere un prestito.;[[P1\BA\101]]Ik wil een lening aanvragen.;[[P1\BA\101]]Eu queria obter um empréstimo.;[[P1\BA\101]]Quiero pedir un crédito.;[[P1\BA\101]]Ich möchte einen Kredit aufnehmen.
Bank>102;[[P1\BA\102]]Eu gostaria de quitar meu empréstimo.;[[P1\BA\102]]I would like to pay back my loan.;[[P1\BA\102]]Je voudrais rembourser mon emprunt.;[[P1\BA\102]]Vorrei restituire il prestito.;[[P1\BA\102]]Ik wil mijn lening terugbetalen.;[[P1\BA\102]]Eu queria pagar o meu empréstimo.;[[P1\BA\102]]Quiero devolver el crédito.;[[P1\BA\102]]Ich möchte meinen Kredit zurückzahlen.
Bank>103;[[P1\BA\103]]Obrigado por sua atenção.;[[P1\BA\103]]Thank you for your time.;[[P1\BA\103]]Merci bien.;[[P1\BA\103]]Grazie per l'attenzione.;[[P1\BA\103]]Bedankt voor uw tijd.;[[P1\BA\103]]Obrigado pelo seu tempo.;[[P1\BA\103]]Gracias por atenderme.;[[P1\BA\103]]Danke, daß Sie Zeit für mich hatten.
Bank>109;[[B2\109]]Sim?;[[B2\109]]Yes?;[[B2\109]]Oui ?;[[B2\109]]Sì?;[[B2\109]]Ja?;[[B2\109]]Sim?;[[B2\109]]¿Sí?;[[B2\109]]Ja?
Bank>120;[[B2\120]]Você excedeu o seu limite de crédito. Desculpe, mas não podemos fazer outro empréstimo...;[[B2\120]]You've exceeded your credit limit. I am sorry, but we cannot grant you another loan...;[[B2\120]]Vous avez dépassé votre limite de crédit. Je suis désolée mais nous ne pouvons pas vous accorder ce prêt...;[[B2\120]]Ha utilizzato tutto il suo fido. Mi dispiace, ma non possiamo garantirle altro credito...;[[B2\120]]Uw krediet is niet hoog genoeg. Sorry, maar we kunnen u geen lening geven...;[[B2\120]]Ultrapassou o seu limite de crédito. Lamento, mas não podemos dar-lhe outro empréstimo...;[[B2\120]]Lo siento, pero se ha agotado su crédito. No podemos prestarle más dinero...;[[B2\120]]Leider ist Ihr Kreditrahmen erschöpft! Wir können Ihnen daher keinen weiteren Kredit gewähren...
Bank>140;[[B2\140]]Bem, isso é muito louvável, mas você não fez nenhum empréstimo.;[[B2\140]]Well, that's very commendable, but you don't have a loan to pay back.;[[B2\140]]Et bien, c'est très aimable à vous, mais vous n'avez aucun emprunt à rembourser.;[[B2\140]]È lodevole da parte sua, ma non deve restituire alcun prestito.;[[B2\140]]Dat is goed, maar u heeft geen lening om terug te betalen..;[[B2\140]]Bem, isso é de louvar, mas não tem nenhum empréstimo para pagar.;[[B2\140]]Eso está muy bien, pero usted no tiene ningún crédito pendiente.;[[B2\140]]Das ist sehr löblich, aber Sie haben keinen Kredit aufgenommen.
Bank>150;[[B2\150]]É claro. Por favor, venha até aqui para prepararmos a documentação.;[[B2\150]]Of course. Please come by our office, so we can take care of the paperwork.;[[B2\150]]Bien sûr. Venez nous voir pour les papiers.;[[B2\150]]Certo. Venga in ufficio per la firma dei documenti.;[[B2\150]]Natuurlijk. Komt u langs zodat we de papierkraam kunnen regelen.;[[B2\150]]Claro. Venha visitar-nos para tratarmos da papelada.;[[B2\150]]Naturalmente. Por favor, venga a vernos y arreglaremos el papeleo.;[[B2\150]]Natürlich. Bitte kommen Sie bei uns vorbei, dann Regeln wir den Papierkram.
Bank>160;[[B2\160]]Um empréstimo deve ser de pelo menos $ 1000,--.;[[B2\160]]The minimum loan amount is $ 1000,--.;[[B2\160]]Un emprunt doit être d'au moins 1000,-- €.;[[B2\160]]Il prestito deve essere di almeno 1000 $.;[[B2\160]]Een lening heeft een bedrag van minimaal $ 1000,--.;[[B2\160]]Um empréstimo tem como quantia mínima 1000,-- $.;[[B2\160]]El importe mínimo para un crédito es de 1000 pts.;[[B2\160]]Der Mindestbetrag für einen Kredit ist € 1000,--.
Bank>161;[[B2\161]]Claro. Irei transferir o dinheiro para sua conta imediatamente.;[[B2\161]]Sure. I will transfer the money to your account immediately.;[[B2\161]]Aucun problème. Je transfère immédiatement l'argent sur votre compte.;[[B2\161]]Naturalmente. Trasferirò subito il denaro sul suo conto.;[[B2\161]]Natuurlijk. Ik zal het geld naar uw rekening overmaken.;[[B2\161]]Muito bem. Vou transferir o dinheiro para a sua conta imediatamente.;[[B2\161]]Bien, transferiré el importe a su cuenta inmediatamente.;[[B2\161]]Gerne. Ich transferiere den Betrag sofort auf Ihr Konto.
Bank>162;[[B2\162]]É claro. Vou fazer isso imediatamente.;[[B2\162]]Of course. I will take care of that immediately.;[[B2\162]]Bien sûr. Je fais ça tout de suite.;[[B2\162]]Certo. Lo faccio subito.;[[B2\162]]Natuurlijk. Ik zal het meteen voor u doen.;[[B2\162]]Claro. Vou tratar disso imediatamente.;[[B2\162]]Naturalmente, nos ocupamos del asunto ahora mismo.;[[B2\162]]Natürlich. Wird sofort erledigt.
Bank>900;[[BA\900]]O que posso fazer por você?;[[BA\900]]What can I do for you?;[[BA\900]]Que puis-je faire pour vous ?;[[BA\900]]Posso aiutarla?;[[BA\900]]Wat kan ik voor u doen?;[[BA\900]]Em que é que o posso ajudar?;[[BA\900]]¿Qué desea?;[[BA\900]]Was kann ich für Sie tun?
Bank>901;[[BA\901]]Departamento de Mercado de Ações, Sr. Smith. Bom dia!;[[BA\901]]Stock market department, Mr. Smith. Hello!;[[BA\901]]Service de la Bourse, M. Smith, bonjour !;[[BA\901]]Ufficio titoli, parla Schmidt. Buongiorno!;[[BA\901]]Aandelenbeurs, u spreekt met Smits. Hallo!;[[BA\901]]Departamento de acções, Mr. Smith. Boa tarde!;[[BA\901]]Departamento de acciones, Herrero al habla. Buenos días.;[[BA\901]]Aktienabteilung, Schmidt. Guten Tag!
Bank>920;[[BA\920]]Algo errado? Posso ajudá-lo?;[[BA\920]]Is there anything wrong? Can I help you?;[[BA\920]]Est-ce que quelque chose ne va pas ? Je peux vous aider ?;[[BA\920]]C'è qualcosa che non va? Posso aiutarla?;[[BA\920]]Is er iets fout? Kan ik u helpen?;[[BA\920]]Passa-se alguma coisa? Posso ajudá-lo?;[[BA\920]]¿Algún problema? ¿Puedo ayudarle?;[[BA\920]]Stimmt etwas nicht? Kann ich Ihnen helfen?
Bank>921;[[P1\BA\921]]Não, não... está tudo bem. Mesmo assim obrigado. Esse banco possui um excelente serviço.;[[P1\BA\921]]No, no... everything's fine. Thank you anyways. This bank provides an excellent service.;[[P1\BA\921]]Non, non... tout va bien. Merci quand même. Cette banque fournit un excellent service.;[[P1\BA\921]]No, no... tutto a posto. Grazie lo stesso. Questa banca offre un ottimo servizio.;[[P1\BA\921]]Nee, alles is in orde. Dank u. Deze bank heeft een erg goede service.;[[P1\BA\921]]Não, não... está tudo bem, obrigado. Este banco tem um serviço excelente.;[[P1\BA\921]]No, no se moleste. Gracias de todas formas, la atención al cliente en este banco es extraordinaria.;[[P1\BA\921]]Neinnein, alles in Ordnung. Trotzdem danke, Ihre Bank hat einen außergewöhnlichen Service.
Bank>905;[[BA\905a]]Sinto muito, mas o departamento de mercado de ações está fechado. [[*]] %s [[BA\905b]] está assumindo[[*]] %s, [[BA\905c]] e nós preparamos a transação.;"[[BA\905a]]I'm sorry, but the stock market department is closed. ";[[BA\905a]]Je suis désolé mais le service de la Bourse est fermé. [[*]] %s [[BA\905b]] va racheter [[*]] %s, [[BA\905c]] et nous devons préparer la transaction.;[[BA\905a]]Sono spiacente, ma l'Ufficio titoli è chiuso. La [[*]] %s [[BA\905a]] sta rilevando la [[*]] %s [[BA\905b]] e dobbiamo preparare la transazione.;[[BA\905a]]Sorry, maar de aandelenhandelaars zijn bezig. [[*]] %s [[BA\905b]] gaat [[*]] %s [[BA\905c]] overnemen, en we moeten de transactie voorbereiden.;[[BA\905a]]Lamento, mas o departamento de acções está fechado. A [[*]] %s [[BA\905b]] vai coprar a [[*]] %s, [[BA\905c]] e temos de preparar a transacção.;[[BA\905a]]Lo siento, el departamento de acciones está cerrado. Tengo que preparar una compra de [[*]] %s [[BA\905b]] por [[*]] %s.;[[BA\905a]]Bedauere, die Aktienabteilung ist leider geschlossen. Ich muß eine Übernahme von [[*]] %s [[BA\905b]] durch [[*]] %s [[BA\905c]] vorbereiten.
Bank>906;[[BA\906a]]Departamento de mercado de ações, Sr. Smith. Desculpe, mas eu estou muito ocupado. [[*]] % [[BA\906b]] s vai assumir [[*]] %s, [[BA\906c]]e tenho que preparar a transação. Eu não posso ajudar você até amanhã.;"[[BA\906a]]Stock market department, Mr. Smith. I'm sorry, but I'm very busy. ";[[BA\906a]]Service de la Bourse, M. Smith. Excusez-moi mais je suis très occupé. [[*]] %s [[BA\906b]] va être racheté par [[*]] %s,[[BA\906c]] et je dois préparer la transaction. Je ne pourrai pas vous aider avant demain.;[[BA\906a]]Ufficio titoli, parla Schmidt. Mi dispiace, ma sono molto occupato. La [[*]] %s [[BA\906b]] sta per essere rilevata dalla [[*]] %s [[BA\906c]] e devo preparare la transazione. Non posso esserle d'aiuto fino a domani.;[[BA\906a]]Aandelenbeurs, u spreekt met Smits. Sorry, maar ik heb het erg druk. [[*]] %s [[BA\906b]] wordt door [[*]] %[[BA\906c]] s overgenomen en ik moet de transactie voorbereiden.;[[BA\906a]]Departamento de acções, Mr. Smith. Lamento, mas estou muito ocupado. A [[*]] %s [[BA\906b]] vai ser comprada pela [[*]] %s, [[BA\906c]] e eu tenho que preparar a transacção. Estou ocupado até amanhã.;[[BA\906a]]Departamento de acciones, Herrero al habla. Tengo que preparar la compra de [[*]] %s [[BA\906b]] por [[*]] %s, [[BA\906c]] de modo que hasta mañana por la mañana no podré atenderle.;[[BA\906a]]Aktienabteilung, Schmidt. Ich muß die Übernahme von [[*]] %s [[BA\906b]] durch [[*]] %s [[BA\906c]] vorbereiten und kann Ihnen daher erst Morgen wieder helfen.
Bank>1000;[[P1\BA\1000]]Eu gostaria de comprar algumas ações.;[[P1\BA\1000]]I would like to buy stocks.;[[P1\BA\1000]]Je voudrais acheter des actions.;[[P1\BA\1000]]Vorrei acquistare delle azioni.;[[P1\BA\1000]]Ik wil aandelen kopen.;[[P1\BA\1000]]Eu queria comprar algumas acções.;[[P1\BA\1000]]Quiero comprar unas acciones.;[[P1\BA\1000]]Ich möchte Aktien kaufen.
Bank>1001;[[P1\BA\1001]]Eu gostaria de vender algumas ações.;[[P1\BA\1001]]I would like to sell some stocks.;[[P1\BA\1001]]Je voudrais vendre des actions.;[[P1\BA\1001]]Vorrei vendere delle azioni.;[[P1\BA\1001]]Ik wil aandelen verkopen.;[[P1\BA\1001]]Eu queria vender algumas acções.;[[P1\BA\1001]]Quiero vender unas acciones.;[[P1\BA\1001]]Ich will Aktien verkaufen.
Bank>1002;[[P1\BA\1002]]Eu gostaria de usar os meus direitos de acionista.;[[P1\BA\1002]]I'd like to execute my shareholder rights.;[[P1\BA\1002]]Je voudrais exercer mes actions.;[[P1\BA\1002]]Vorrei esercitare i miei diritti azionari.;[[P1\BA\1002]]Ik zou graag van mijn beursrechten gebruik maken.;[[P1\BA\1002]]Eu queria executar os meus direitos de accionista.;[[P1\BA\1002]]Quiero ejercer mis derechos de accionista.;[[P1\BA\1002]]Ich möchte meine Aktienrechte ausüben.
Bank>1003;[[P1\BA\1003]]Eu gostaria de emitir novas ações.;[[P1\BA\1003]]I would like to issue new stocks.;[[P1\BA\1003]]Je voudrais émettre de nouvelles actions.;[[P1\BA\1003]]Vorrei emettere nuove azioni.;[[P1\BA\1003]]Ik wil graag nieuwe aandelen uitgeven.;[[P1\BA\1003]]Eu queria emitir novas acções.;[[P1\BA\1003]]Me gustaría emitir nuevas acciones.;[[P1\BA\1003]]Ich würde gerne neue Aktien emittieren.
Bank>1004;[[P1\BA\1004]]Eu gostaria de definir o pagamento do dividendo anual.;[[P1\BA\1004]]I would like to determine how much of my profit I will distribute.;[[P1\BA\1004]]Je voudrais modifier les dividendes annuels.;[[P1\BA\1004]]Vorrei definire il versamento annuale del dividendo.;[[P1\BA\1004]]Ik wil de jaarlijkse aflossing vastleggen.;[[P1\BA\1004]]Eu queria definir a distribuição anual dos dividendos.;[[P1\BA\1004]]Quiero fijar el dividendo que repartiremos.;[[P1\BA\1004]]Ich möchte festlegen, wieviel Rendite ich ausschütte.
Bank>1005;[[P1\BA\1005]]Tchau.;[[P1\BA\1005]]Ciao.;[[P1\BA\1005]]Ciao.;[[P1\BA\1005]]Ciao.;[[P1\BA\1005]]Tot ziens!;[[P1\BA\1005]]Ciao.;[[P1\BA\1005]]Ciao.;[[P1\BA\1005]]Ciao.
Bank>1100;[[BA\1100]]Sinto muito, mas atualmente você não possui nenhuma ação.;[[BA\1100]]I'm sorry but you currently don't own any stocks.;[[BA\1100]]Je suis désolé mais vous n'avez actuellement aucune action.;[[BA\1100]]Sono spiacente, ma al momento non possiede azioni.;[[BA\1100]]Oh. U heeft geen aandelen.;[[BA\1100]]Lamento mas neste momento não possui acções.;[[BA\1100]]Lo siento, pero en este momento no tiene acciones.;[[BA\1100]]Leider haben Sie zur Zeit keine Aktien.
Bank>1200;[[BA\1200]]Sem problema. Por favor, venha até aqui nós para completarmos a documentação.;[[BA\1200]]No problem. Please visit us to complete the paperwork.;[[BA\1200]]Aucun problème. Venez nous voir pour remplir les papiers.;[[BA\1200]]Nessun problema. Passi in ufficio per firmare i documenti.;[[BA\1200]]Geen probleem. Als u langs komt kunnen we de papierkraam regelen.;[[BA\1200]]Claro. Venha visitar-nos para tratarmos da papelada.;[[BA\1200]]Desde luego. Venga a vernos y arreglaremos el papeleo.;[[BA\1200]]Gerne. Kommen Sie doch vorbei, dann regeln wir den Papierkram!
